Rank,ACNo,CandidateName,PartyAbbreviation,VotesPolled,PercVotesPolled
28,8,VIJAYAKUMAR G,IND,83,0.04
1,9,SUDHARSANAM S,DMK,122082,45.43
2,9,DHAKSHNAMOORTHY D,ADMK,106829,39.76
3,9,ERAVIRAJ G,PMK,14245,5.3
4,9,KANNAN A S,CPI,9383,3.49
5,9,JANAKIRAMAN R M R,BJP,5161,1.92
6,9,None of the Above,NOTA,4291,1.6
7,9,ELUMALAI R,ntk,3697,1.38
8,9,GIRI C,BSP,829,0.31
9,9,GOPI M,YSP,573,0.21
10,9,JANAKIRAMAN S,CPI(ML)(L),393,0.15
11,9,NANDAKUMAR P,IND,312,0.12
12,9,VINOTHKUMAR P,FIP,303,0.11
13,9,NAGARAJ S,IND,256,0.1
14,9,RAJASEKARAN M,IND,132,0.05
15,9,SATHEESH S,IND,123,0.05
16,9,SURESHKUMAR S,IND,109,0.04
1,10,SAMY.K.P.P,DMK,82205,43.25
2,10,BALRAJ.B,ADMK,77342,40.69
3,10,ARUMUGAM.A.V,DMDK,13463,7.08
4,10,VASANTHAKUMARI.R,PMK,4025,2.12
5,10,GOKUL.R,ntk,3961,2.08
6,10,SIVAKUMAR.M,BJP,3313,1.74
7,10,None of the Above,NOTA,2917,1.53
8,10,DHANASEKAR.C,IND,511,0.27
9,10,KARNAN.P,SHS,425,0.22
10,10,TAMILSELVAN.S,IND,299,0.16
11,10,NANDHAKUMAR.B,GokMK,252,0.13
12,10,SELVAM.P,IND,196,0.1
13,10,THAMOTHARAN.P,IND,190,0.1
14,10,RAMESH.E,IND,166,0.09
15,10,KARIMULLA.M.G,IND,159,0.08
16,10,MANIKANDAN.K,IND,138,0.07
17,10,ZAKIR HUSSAIN.B,IND,104,0.05
18,10,SUNDAR.D,VTIP,100,0.05
19,10,SANKAR.D,IND,87,0.05
20,10,SENTHIL.K,IND,79,0.04
21,10,ISRATHBEGUM.A.R,IND,65,0.03
22,10,SOWRI RAJAN.M,PPIS,64,0.03
1,11,JAYALALITHAA J,ADMK,97218,55.87
2,11,SHIMLA MUTHUCHOZHAN,DMK,57673,33.14
3,11,VASANTHI DEVI V,VCK,4195,2.41
4,11,AGNES F,PMK,3011,1.73
5,11,RAJA M.N,BJP,2928,1.68
6,11,None of the Above,NOTA,2873,1.65
7,11,DEVI G,ntk,2513,1.44
8,11,EDINBUROUGH J,BSP,327,0.19
9,11,MICHAEL RAJ M.A,IND,230,0.13
10,11,"SELVARANI,",IND,206,0.12
11,11,MARIMUTHU P,IND,204,0.12
12,11,GOPI M,IND,189,0.11
13,11,ARUNTHATHI RAMACHANDRAN,IND,177,0.1
14,11,VENUGOPAL D,SHS,162,0.09
15,11,SADAIYANDI.E,SUCI,132,0.08
16,11,RAVI PARAYANAR.D,RPI(A),125,0.07
17,11,BHUVANESWARI P,IND,119,0.07
18,11,KAVERISELVAM M,IND,104,0.06
19,11,NAMBIRAJAN N,IND,100,0.06
20,11,JAYALAKSHMI K,IND,99,0.06
21,11,MANAOHARAN S,IND,98,0.06
22,11,PREMKUMAR P,IND,82,0.05
23,11,ARUNTHATHI VADIVEL MURUGAN,IND,81,0.05
24,11,MEENACHI SUNDARAM V,IND,80,0.05
25,11,YUVARAJ S,IND,73,0.04
26,11,CHANDRASEKAR K,IND,73,0.04
27,11,PONRAJ P,IND,72,0.04
28,11,ABRAHAM RAJAMOHAN.R,PPIS,68,0.04
29,11,GAJENDRAN P,IND,63,0.04
30,11,PRAVINA G,IND,63,0.04
31,11,SWAMY A.K,IND,61,0.04
32,11,DURAIVEL V,IND,57,0.03
33,11,JAGADISHWARAREDDY K,IND,57,0.03
34,11,SUBASH BABU M,AUK,55,0.03
35,11,MURUGAN M.R.,JJ,52,0.03
36,11,BASKARAN N,IND,48,0.03
37,11,PRAKASH S,IND,48,0.03
38,11,SURESHKUMAR S,MKat,42,0.02
39,11,SHANMUGANANDHAM M,VTIP,42,0.02
40,11,SEKAR S,IND,37,0.02
41,11,THANGAVEL V,IND,35,0.02
42,11,RAJU R.S,IND,35,0.02
43,11,BASKAR P,IND,31,0.02
44,11,MEGAVANAN I,IND,29,0.02
45,11,RAJ L,IND,28,0.02
46,11,RAMESH R,IND,20,0.01
1,12,P VETRIVEL,ADMK,79974,42.39
2,12,N R DHANAPALAN,DMK,79455,42.11
3,12,A SOUNDARA RAJAN,CPM,10281,5.45
4,12,PRAKASH R,BJP,4582,2.43
5,12,M.VENKATESH  PERUMAL,PMK,3685,1.95
6,12,S VETRI THAMIZHAN,ntk,3236,1.72
7,12,None of the Above,NOTA,3167,1.68
8,12,S SURESH,YSP,387,0.21
9,12,N RAJ,BSP,363,0.19
10,12,J PRAVEEN KUMAR,IND,319,0.17
11,12,R SARAVANA PERUMAL,IND,304,0.16
12,12,P SARAVANAN,IND,249,0.13
13,12,D SUNDARA RAMAN,IND,248,0.13
14,12,S VENGADESAN,SHS,230,0.12
15,12,L SUSITHRA,IND,215,0.11
16,12,G KOTHANDAN,IND,212,0.11
17,12,R KARTHIKEYAN,IND,163,0.09
18,12,G.R.MOHAMMED YOUSUFF,IND,161,0.09
19,12,S MOHAN,IND,158,0.08
20,12,N VIJI,IND,158,0.08
21,12,A SIVARAJALINGAM,IND,121,0.06
22,12,P RAJA,IND,118,0.06
23,12,A MANIVANNAN,IND,115,0.06
24,12,K. KAMARAJ,IND,100,0.05
25,12,M MAHENDRAN,MKat,100,0.05
26,12,V SUBRAMANI,IND,83,0.04
27,12,S JAYARAJ,IND,80,0.04
28,12,B KUMARAN,IND,75,0.04
29,12,K.MALLIKA,AIWUP,72,0.04
30,12,S PARTHIBAN,IND,64,0.03
31,12,S NARENDRA KUMAR,IND,55,0.03
32,12,K VASANTHA KUMARI,LJP,54,0.03
33,12,R MANIKANDAN,IND,51,0.03
34,12,P NARAYANASAMI,IND,46,0.02
1,13,M.K.STALIN,DMK,91303,54.25
2,13,J.C.D.PRABHAKAR,ADMK,53573,31.83
3,13,P.MATHIVANAN,DMDK,6276,3.73
4,13,K.T.RAGHAVAN,BJP,5289,3.14
5,13,None of the Above,NOTA,3554,2.11
6,13,S.GOPAL,PMK,3022,1.8
7,13,S.XAVIER FELIX,ntk,2827,1.68
8,13,M. SHAJINI,IND,525,0.31
9,13,C.VELAN,BSP,438,0.26
10,13,S.ASHOK KUMAR,VTIP,256,0.15
11,13,R.SIVASHANKAR,IND,202,0.12
12,13,SEETHA MALLAR,IND,201,0.12
13,13,M.PRAKASH,IND,127,0.08
14,13,G. SATHYANARAYANAN,YSP,112,0.07
15,13,A.STALINKUMAR,IND,83,0.05
16,13,V. VIJAYAKUMARI,RPI(A),65,0.04
17,13,A.ARAVIND,IND,62,0.04
18,13,J.MOHANRAJ,JJ,60,0.04
19,13,M.VASANTHA KUMAR,VBMP,60,0.04
20,13,G.RAGAVANAYAGAM,IND,59,0.04
21,13,S.KARTHICK,IND,51,0.03
22,13,M. P. CHARAVANAN,IND,48,0.03
23,13,M.MURALI VINODH,IND,42,0.02
24,13,A.DEVAKUMARAN,IND,37,0.02
25,13,J.SUBBIAH,IND,36,0.02
1,14,B. RANGANATHAN,DMK,65972,43.96
2,14,M.RAJU,ADMK,56651,37.75
3,14,T.PANDIYAN,DMDK,8234,5.49
4,14,M.JAISHANKAR,BJP,6438,4.29
5,14,V.SUBRAMANIAN,PMK,4193,2.79
6,14,None of the Above,NOTA,3409,2.27
7,14,A.VAGAI VENTHAN,ntk,3002,2
8,14,K.M.SUCHARITHA,YSP,952,0.63
9,14,A.PALANIVEL,BSP,369,0.25
10,14,S.RANJITHKUMAR,IND,244,0.16
11,14,J JAGADESH,VTK,113,0.08
12,14,B.MOHAMED IQBAL BASHA,IND,111,0.07
13,14,G.ASHOK KUMAR,IND,91,0.06
14,14,R.K.RAVICHANDRAN,IND,80,0.05
15,14,M.GUNASEKARAN,IND,71,0.05
16,14,C.PANDIYAN,IND,66,0.04
17,14,S.KANDASAMY,IND,52,0.03
18,14,D.ELAVARASAN,IND,36,0.02
1,15,SIVAKUMAR P @ THAYAGAM KAVI,DMK,61744,45.25
2,15,NEELAKANDAN V,ADMK,58422,42.82
3,15,SUGANTHI,CPM,5702,4.18
4,15,None of the Above,NOTA,2685,1.97
5,15,VANITHAMANI D,PMK,2056,1.51
6,15,GOWRI,ntk,1831,1.34
7,15,PUSHPARAJ,SDPI,925,0.68
8,15,CHANDRASEKAR,IJK,482,0.35
9,15,SATHISH S,BSP,468,0.34
10,15,NEELAKANDAN  G,IND,328,0.24
11,15,KARUNANIDHI K,IND,224,0.16
12,15,YUVARAJ V,SHS,201,0.15
13,15,SHEELA BASKARAN,IND,171,0.13
14,15,NAGESHRAO R,RPI(A),165,0.12
15,15,PRABHAKARAN K,MKat,157,0.12
16,15,PUVINTHAN S,IND,144,0.11
17,15,SURESH BABU S,IND,135,0.1
18,15,VASANTHAKUMAR M,IND,134,0.1
19,15,VENUGOPAL S,IND,127,0.09
20,15,SULOCHANA S,YSP,110,0.08
21,15,SUNDAR,IND,96,0.07
22,15,KOLANJI,IND,91,0.07
23,15,MOORHI G,IND,52,0.04
1,16,RAVICHANDRAN K.S,DMK,55060,45.64
2,16,PARITHI ELLAMVAZHUTHI E,ADMK,44381,36.79
3,16,VENKATESAN M,BJP,7159,5.93
4,16,PRABHU T,DMDK,6321,5.24
5,16,None of the Above,NOTA,2840,2.35
6,16,RAJENDRAN A,PMK,1814,1.5
7,16,JAYALAKSHMI I,ntk,1450,1.2
8,16,EZHILARASAN I,BSP,255,0.21
9,16,BALASUNDARAM M,IND,255,0.21
10,16,NAGARAJAN M,IND,192,0.16
11,16,VENKATACHALAM V,YSP,179,0.15
12,16,GUNASEKAR N,IND,128,0.11
13,16,ASHOK A,SHS,103,0.09
14,16,MUKUNTHAN J,IND,97,0.08
15,16,SELVAM I,IND,79,0.07
16,16,KUBENDRAN S,MKat,70,0.06
17,16,CHANDRAKALA J,JaSD,54,0.04
18,16,DHATCHAYANI M,IND,52,0.04
19,16,ARUN KUMAR A,IND,39,0.03
20,16,RAJASEKAR S,IND,36,0.03
21,16,PRASATH S,IND,36,0.03
22,16,JAYARAJ S,IND,35,0.03
1,17,JAYAKUMAR D,ADMK,55205,45.21
2,17,MANOHAR R,INC,47174,38.63
3,17,SYED RAFI BASHA H,SDPI,4345,3.56
4,17,JEMELAA M R,BJP,3562,2.92
5,17,BIJU CHACKO,TMC(M),3191,2.61
6,17,ANANDHA RAJ B,ntk,2387,1.95
7,17,None of the Above,NOTA,2348,1.92
8,17,PERUMAL T S,PMK,2126,1.74
9,17,SELVAN P,IND,378,0.31
10,17,VIJAYAVELMURUGAN T,IND,364,0.3
11,17,RUBALINGAM K,BSP,300,0.25
12,17,PURUSHOTHAMAN P P,IND,282,0.23
13,17,GANESH PRABHU P,IND,138,0.11
14,17,DHANASEKARAN G,IND,88,0.07
15,17,DAVID K,IND,69,0.06
16,17,RAJARAMAN N,IND,57,0.05
17,17,SURESH T,IND,54,0.04
18,17,VANNAI SATHYA @ SATHYANARAYANAN,IND,49,0.04
1,18,SEKAR BABU P K,DMK,42071,40.36
2,18,SREENIVASAN K S,ADMK,37235,35.72
3,18,KRISHNAKUMAR NADHANI,BJP,13357,12.81
4,18,AMEER HAMSA S,SDPI,4161,3.99
5,18,None of the Above,NOTA,2101,2.02
6,18,MURAD BUHARI B,MDMK,1970,1.89
7,18,SURESHKUMAR R,PMK,1011,0.97
8,18,ANWAR BAIG,ntk,902,0.87
9,18,SIVACHANDRAN P,IND,227,0.22
10,18,NAZEER HUSSAIN S,BSP,182,0.17
11,18,NATHIYA R,IND,145,0.14
12,18,SRINIVASAN R,IND,120,0.12
13,18,ABESAR,YSP,120,0.12
14,18,SRINIVASAN P,IND,81,0.08
15,18,VENKATESAN P,IND,74,0.07
16,18,SAGAYAM G,GMI,71,0.07
17,18,JAYARAJ K,PPIS,58,0.06
18,18,NANDAKUMAR D,IND,56,0.05
19,18,RAVI M L,DMSK,49,0.05
20,18,KRISHNAKUMAR G,IND,48,0.05
21,18,CHANDRA BOMMU K,IND,45,0.04
22,18,NAZIM,IND,35,0.03
23,18,MAHENDRA KUMAR J,IND,32,0.03
24,18,UVAKUMAR P N,IND,31,0.03
25,18,RAMESH D,IND,29,0.03
26,18,MAGESHKUMAR D,IND,27,0.03
1,19,J.ANBAZHAGAN,DMK,67982,47.32
2,19,A.NOORJAHAN,ADMK,53818,37.46
3,19,APN.THAMARAI GAJENDRAN,BJP,6281,4.37
4,19,V.ABDULLA SAIT,DMDK,5507,3.83
5,19,None of the Above,NOTA,3494,2.43
6,19,A.V.A.KASSALI,PMK,2511,1.75
7,19,P.SIVAKUMAR,ntk,1810,1.26
8,19,K.MAHENDIRAN,IND,372,0.26
9,19,C.RAGHU,BSP,336,0.23
10,19,PREMKUMAR,IND,228,0.16
11,19,J.JAYAPRAKASH,YSP,223,0.16
12,19,S.VIVEKANANDA,IND,174,0.12
13,19,D.SELVARAJ,IND,158,0.11
14,19,ABBU MOOSA KHADERI,IND,130,0.09
15,19,T.K.SYED SUBAIR,IND,126,0.09
16,19,ABID BAKSHQH HUSSAIN,RPI(A),119,0.08
17,19,J.ELUMALAI,SHS,111,0.08
18,19,M.JAFFER SHATHIK,EDP,82,0.06
19,19,S.ANBALAGAN,IND,77,0.05
20,19,K.SRINIVASAN,IND,68,0.05
21,19,C.MANIKANDAN,IND,58,0.04
1,20,SELVAM KU. KA,DMK,61726,43.35
2,20,VALARMATHI B,ADMK,52897,37.15
3,20,SHIVALINGAM M,BJP,8516,5.98
4,20,AMBIGAPATHY C,MDMK,7805,5.48
5,20,RANGAN V,PMK,3968,2.79
6,20,None of the Above,NOTA,3633,2.55
7,20,MURUGESAN,ntk,2075,1.46
8,20,ELANGO M,YSP,506,0.36
9,20,JAFFER SADIK J,IND,184,0.13
10,20,DHANANJAYAN T S,IND,174,0.12
11,20,MOGAN KUMAR S P,IND,143,0.1
12,20,MURUGAN S,IND,141,0.1
13,20,SELVAM R,IND,121,0.08
14,20,ARUNTHATHI RAMACHANDRAN,IND,93,0.07
15,20,SELVAM P,IND,68,0.05
16,20,MANIKANDAN A,IND,61,0.04
17,20,KUMAR K,IND,56,0.04
18,20,RAMESH A,IND,50,0.04
19,20,SANTHAKUMAR K,IND,40,0.03
20,20,SELVAM T,IND,39,0.03
21,20,IYYANAR C,IND,38,0.03
22,20,GOKULAKRISHNAN E,IND,35,0.02
23,20,KARTHIK D,IND,34,0.02
1,21,MOHAN M.K.,DMK,72207,41.74
2,21,GOKULAINDIRA S,ADMK,70520,40.77
3,21,SURESH K,BJP,8820,5.1
4,21,MALLIKA DAYALAN,MDMK,6491,3.75
5,21,AKHILESH A M,PMK,5619,3.25
6,21,None of the Above,NOTA,4048,2.34
7,21,AMUTHA N,ntk,2966,1.71
8,21,KUMARAN P,YSP,483,0.28
9,21,SARAVANARAJA P,VTK,370,0.21
10,21,BABU D,IND,295,0.17
11,21,BALAJI S,IND,252,0.15
12,21,TIMOTHY MOSES,CDF,173,0.1
13,21,MUTHUSAMY M,IND,126,0.07
14,21,SARAVANAN R,IND,96,0.06
15,21,VARKEES THARUMA RAJ G,TSC,88,0.05
16,21,THIRUNAVUKKARASU V,MKat,85,0.05
17,21,SIVASANKARAN R,IND,80,0.05
18,21,YOGESWARAN D,IND,77,0.04
19,21,KANNAN S,IND,54,0.03
20,21,SOFILET,LJP,48,0.03
21,21,RAVI KUMAR S,IND,45,0.03
22,21,BHUVANESWARAN M,IND,38,0.02
1,22,V.N.VIRUGAI RAVI,ADMK,65979,38.51
2,22,K THANASEKARAN,DMK,63646,37.15
3,22,TAMILIASI SOUNDRARAJAN.DR,BJP,19167,11.19
4,22,B.PARTHASARATHY,DMDK,9730,5.68
5,22,C.H. JAYARAO,PMK,3945,2.3
6,22,None of the Above,NOTA,3897,2.27
7,22,T.S.RAJENDRAN,ntk,2926,1.71
8,22,A.SEENEVASAN,KMDK,296,0.17
9,22,DILIP MATHEW JOHN,YSP,283,0.17
10,22,B.SENTHIL KUMAR,IND,265,0.15
11,22,N.RAVI,IND,218,0.13
12,22,B.JAYABAL,IND,176,0.1
13,22,N.NANDHA GOPAL,IND,155,0.09
14,22,D.DHANASEKAR,IND,126,0.07
15,22,S.R.DINESH KUMAR,IND,111,0.06
16,22,S.SELVANATHAN,IND,102,0.06
17,22,K.RAVI,IND,91,0.05
18,22,M.S.S.SUDHIR THEJA,IND,87,0.05
19,22,P. ESSAKIMUTHU,IND,58,0.03
20,22,G.RAJENDRAN,IND,55,0.03
21,22,S.KUMAR,IND,26,0.02
1,23,SUBRAMANIAN.MA,DMK,79279,47.18
2,23,PONNAYAN.C,ADMK,63024,37.51
3,23,KALIDASS.V,BJP,6000,3.57
4,23,SAHADEVAN.T.R.,PMK,5913,3.52
5,23,ELUMALAI.S,CPI,5221,3.11
6,23,None of the Above,NOTA,3541,2.11
7,23,MANOHARAN.M,ntk,2725,1.62
8,23,MURUGESAN.S,BSP,330,0.2
9,23,GOKULARAJAN.C,IND,251,0.15
10,23,SUBRAMANI.M,IND,225,0.13
11,23,VISHNURAM.M,YSP,207,0.12
12,23,MOHANA.N,IND,191,0.11
13,23,MEENA.P,IND,164,0.1
14,23,CHINNADURAI.V,IND,152,0.09
15,23,ANAND.V,IND,140,0.08
16,23,VISHNURAM.S,IND,123,0.07
17,23,THOMAS.C,LJP,95,0.06
18,23,SOUNDARJAN.C,IND,94,0.06
19,23,PARTHIBAN.S,IND,87,0.05
20,23,SHANKAR.E,IND,85,0.05
21,23,SUBARAMANI.K,IND,68,0.04
22,23,KANDASAMY.R,IND,52,0.03
23,23,RAJASEKAR.T,IND,51,0.03
1,24,SATHYANARAYANAN.B,ADMK,53207,37.47
2,24,DR.N.S.KANIMOZHI,DMK,50052,35.25
3,24,RAJA.H,BJP,19888,14.01
4,24,KUMAR.V,DMDK,6210,4.37
5,24,VINOTH.V,PMK,5071,3.57
6,24,None of the Above,NOTA,3570,2.51
7,24,PADMANAPAN,ntk,2072,1.46
8,24,NAGADASS.K,BSP,380,0.27
9,24,MAHESH.K,YSP,323,0.23
10,24,E. DINAKARAN,IND,230,0.16
11,24,AUGUSTIN.R.J,GMI,197,0.14
12,24,T. PANDIARAJAN,IND,193,0.14
13,24,HARIRAJAN.M,IND,113,0.08
14,24,N.REEGAN,IND,111,0.08
15,24,P. TAMILMANI,IND,88,0.06
16,24,RAMANAN.A,SHS,79,0.06
17,24,KARTHIK.M,IND,55,0.04
18,24,H.DHANASEKAR,IND,50,0.04
19,24,M. SRINIVASAN,IND,49,0.03
20,24,KUMAR SRISRI.B,IND,44,0.03
1,25,NATARAJ R,ADMK,68176,43.67
2,25,KARATE R.THIAGARAJAN,INC,53448,34.23
3,25,NAGARAJAN K,BJP,11720,7.51
4,25,SURESH KUMAR N,PMK,5806,3.72
5,25,MUNAVAR BASHA A.S,TMC(M),4753,3.04
6,25,None of the Above,NOTA,3788,2.43
7,25,SUDHAKAR.S.,ntk,2356,1.51
8,25,SATHYAA DURRAIRAJH,IND,1764,1.13
9,25,K.R.RAMASWAMY @TRAFFIC RAMASWAMY,IND,1229,0.79
10,25,SATHYANARAYANAN .S. @MYLAI S.SHATHYA,IND,1017,0.65
11,25,SIVAKUMAR R,IND,418,0.27
12,25,BALAJI V,BSP,329,0.21
13,25,ANAND N,IND,197,0.13
14,25,DHANANJAYAN T.S,IND,180,0.12
15,25,SHEELA S,IND,171,0.11
16,25,GOVINDARAJULU.M.,YSP,127,0.08
17,25,V.VIJAYAKRISHNA,SHS,105,0.07
18,25,KUPPAL G.DEVADOSS,IND,86,0.06
19,25,LOGANATHAN,IND,79,0.05
20,25,MOHANRAJ J,JJ,77,0.05
21,25,JEBAMANI E,PPIS,67,0.04
22,25,ARUNRAJ BALAN,IND,58,0.04
23,25,JOSHUA GERARD,IND,58,0.04
24,25,RAMADOSS. P.,IND,51,0.03
25,25,SHANMUGA RAJAN,IND,45,0.03
26,25,BALAKRISHNAN,IND,27,0.02
1,26,VAGAI CHANDERASEKAR,DMK,70139,39.96
2,26,C MUNUSAMY,ADMK,61267,34.91
3,26,P SRITHARAN,BJP,14472,8.25
4,26,V N RAJAN,DMDK,9654,5.5
5,26,VINOBA BHOOPATHY,PMK,6809,3.88
6,26,None of the Above,NOTA,4225,2.41
7,26,N CHANDRASEKARAN,ntk,4011,2.29
8,26,RAJA KRISHNAMOORTHY @ KITTY,IND,2477,1.41
9,26,SUDARSAN RAJAN,IND,507,0.29
10,26,S SUNDARAJAN,IND,274,0.16
